source	target	kind	path
casa-aipsio	casa-values	normal	crates/casa-values
casa-calibration	casa-ms	normal	crates/casa-ms
casa-calibration	casa-provider-contracts	normal	crates/casa-provider-contracts
casa-calibration	casa-tables	normal	crates/casa-tables
casa-calibration	casa-test-support	dev	crates/casa-test-support
casa-calibration	casa-types	normal	crates/casa-types
casa-coordinates	casa-types	normal	crates/casa-types
casa-images	casa-coordinates	normal	crates/casa-coordinates
casa-images	casa-lattices	normal	crates/casa-lattices
casa-images	casa-tables	normal	crates/casa-tables
casa-images	casa-test-support	dev	crates/casa-test-support
casa-images	casa-types	normal	crates/casa-types
casa-images	casars-imagebrowser-protocol	normal	crates/casars-imagebrowser-protocol
casa-imaging	casa-coordinates	normal	crates/casa-coordinates
casa-imaging	casa-images	normal	crates/casa-images
casa-imaging	casa-lattices	normal	crates/casa-lattices
casa-imaging	casa-test-support	dev	crates/casa-test-support
casa-imaging	casa-types	normal	crates/casa-types
casa-lattices	casa-tables	normal	crates/casa-tables
casa-lattices	casa-types	normal	crates/casa-types
casa-measures-data	casa-table-read	normal	crates/casa-table-read
casa-measures-tools	casa-measures-data	normal	crates/casa-measures-data
casa-ms	casa-provider-contracts	normal	crates/casa-provider-contracts
casa-ms	casa-tables	normal	crates/casa-tables
casa-ms	casa-test-support	dev	crates/casa-test-support
casa-ms	casa-types	normal	crates/casa-types
casa-tables	casa-aipsio	normal	crates/casa-aipsio
casa-tables	casa-types	normal	crates/casa-types
casa-tables	casars-tablebrowser-protocol	normal	crates/casars-tablebrowser-protocol
casa-test-support	casa-aipsio	normal	crates/casa-aipsio
casa-test-support	casa-coordinates	normal	crates/casa-coordinates
casa-test-support	casa-images	normal	crates/casa-images
casa-test-support	casa-lattices	normal	crates/casa-lattices
casa-test-support	casa-measures-data	normal	crates/casa-measures-data
casa-test-support	casa-ms	dev	crates/casa-ms
casa-test-support	casa-tables	normal	crates/casa-tables
casa-test-support	casa-types	normal	crates/casa-types
casa-types	casa-measures-data	normal	crates/casa-measures-data
casa-types	casa-values	normal	crates/casa-values
casa-vla	casa-ms	normal	crates/casa-ms
casa-vla	casa-provider-contracts	normal	crates/casa-provider-contracts
casa-vla	casa-tables	normal	crates/casa-tables
casa-vla	casa-test-support	dev	crates/casa-test-support
casa-vla	casa-types	normal	crates/casa-types
casars	casa-calibration	normal	crates/casa-calibration
casars	casa-images	normal	crates/casa-images
casars	casa-imaging	normal	crates/casa-imaging
casars	casa-ms	normal	crates/casa-ms
casars	casa-tables	normal	crates/casa-tables
casars	casa-types	normal	crates/casa-types
casars	casa-vla	normal	crates/casa-vla
casars	casars-imagebrowser-protocol	normal	crates/casars-imagebrowser-protocol
casars	casars-imager	normal	crates/casars-imager
casars	casars-tablebrowser-protocol	normal	crates/casars-tablebrowser-protocol
casars	ratatui-graphics	normal	crates/ratatui-graphics
casars-imagebrowser-protocol	casa-provider-contracts	normal	crates/casa-provider-contracts
casars-imager	casa-coordinates	normal	crates/casa-coordinates
casars-imager	casa-images	normal	crates/casa-images
casars-imager	casa-imaging	normal	crates/casa-imaging
casars-imager	casa-ms	normal	crates/casa-ms
casars-imager	casa-provider-contracts	normal	crates/casa-provider-contracts
casars-imager	casa-tables	normal	crates/casa-tables
casars-imager	casa-test-support	dev	crates/casa-test-support
casars-imager	casa-types	normal	crates/casa-types
casars-importvla	casa-vla	normal	crates/casa-vla
casars-python	casa-coordinates	normal	crates/casa-coordinates
casars-python	casa-images	normal	crates/casa-images
casars-python	casa-provider-contracts	normal	crates/casa-provider-contracts
casars-python	casa-tables	normal	crates/casa-tables
casars-python	casa-types	normal	crates/casa-types
casars-tablebrowser-protocol	casa-provider-contracts	normal	crates/casa-provider-contracts
